Date,Workout,,,,,,,,
2015-11-08 12:37,91,,,,,,,,
2015-11-08 12:37,91,,,,,,,,
2015-11-08 12:37,265,,,,,,,,
2015-11-08 12:37,265,,,,,,,,
2015-11-08 12:37,197,,,,,,,,
2015-11-08 12:37,197,,,,,,,,
2015-11-08 12:37,197,,,,,,,,
2015-11-08 12:37,197,,,,,,,,
2015-11-08 12:37,197,,,,,,,,
2015-11-08 12:37,225,,,,,,,,
2015-11-08 12:37,225,,,,,,,,
2015-11-08 12:37,225,,,,,,,,
2015-11-08 12:37,265,,,,,,,,
2015-11-08 12:37,265,,,,,,,,
2015-11-08 17:45,24,,,,,,,,
2015-11-08 17:45,24,,,,,,,,
2015-11-08 17:45,24,,,,,,,,
2015-11-08 17:45,24,,,,,,,,
2015-11-08 17:45,24,,,,,,,,
2015-11-08 17:45,24,,,,,,,,
2015-11-08 17:45,75,,,,,,,,
2015-11-08 17:45,75,,,,,,,,
2015-11-08 17:45,26,,,,,,,,
2015-11-08 17:45,26,,,,,,,,
2015-11-08 17:45,26,,,,,,,,
2015-11-08 17:45,28,,,,,,,,
2015-11-08 17:45,28,,,,,,,,
2015-11-08 17:45,28,,,,,,,,
2015-11-08 17:45,24,,,,,,,,
2015-11-08 17:45,24,,,,,,,,
2015-11-08 17:45,24,,,,,,,,
2015-11-08 17:45,24,,,,,,,,
2015-11-08 17:45,24,,,,,,,,
2015-11-08 17:45,24,,,,,,,,
2015-11-08 17:45,75,,,,,,,,
2015-11-08 17:45,75,,,,,,,,
2015-11-08 17:45,26,,,,,,,,
2015-11-08 17:45,26,,,,,,,,
2015-11-08 17:45,26,,,,,,,,
2015-11-08 17:45,28,,,,,,,,
2015-11-08 17:45,28,,,,,,,,
2015-11-08 17:45,28,,,,,,,,
2015-11-10 17:10,274,,,,,,,,
2015-11-10 17:10,274,,,,,,,,
2015-11-10 17:10,274,,,,,,,,
2015-11-10 17:10,274,,,,,,,,
2015-11-10 17:10,231,,,,,,,,
2015-11-10 17:10,231,,,,,,,,
2015-11-10 17:10,231,,,,,,,,
2015-11-10 17:10,182,,,,,,,,
2015-11-10 17:10,182,,,,,,,,
2015-11-10 17:10,182,,,,,,,,
2015-11-10 17:10,182,,,,,,,,
2015-11-10 17:10,278,,,,,,,,
2015-11-10 17:10,278,,,,,,,,
2015-11-10 17:10,274,,,,,,,,
2015-11-10 17:10,274,,,,,,,,
2015-11-10 17:10,274,,,,,,,,
2015-11-10 17:10,274,,,,,,,,
2015-11-10 17:10,231,,,,,,,,
2015-11-10 17:10,231,,,,,,,,
2015-11-10 17:10,231,,,,,,,,
2015-11-10 17:10,66,,,,,,,,
2015-11-10 17:10,66,,,,,,,,
2015-11-10 17:10,66,,,,,,,,
2015-11-10 17:10,66,,,,,,,,
2015-11-10 17:10,278,,,,,,,,
2015-11-10 17:10,278,,,,,,,,
2015-11-12 18:24,91,,,,,,,,
2015-11-12 18:24,91,,,,,,,,
2015-11-12 18:24,91,,,,,,,,
2015-11-12 18:24,91,,,,,,,,
2015-11-12 18:24,91,,,,,,,,
2015-11-12 18:24,91,,,,,,,,
2015-11-12 18:24,222,,,,,,,,
2015-11-12 18:24,222,,,,,,,,
2015-11-12 18:24,265,,,,,,,,
2015-11-12 18:24,265,,,,,,,,
2015-11-12 18:24,265,,,,,,,,
2015-11-12 18:24,265,,,,,,,,
2015-11-12 18:24,265,,,,,,,,
2015-11-12 18:24,225,,,,,,,,
2015-11-12 18:24,225,,,,,,,,
2015-11-12 18:24,225,,,,,,,,
2015-11-12 18:24,225,,,,,,,,
2015-11-12 18:24,225,,,,,,,,
2015-11-12 18:24,225,,,,,,,,
2015-11-12 18:24,222,,,,,,,,
2015-11-12 18:24,222,,,,,,,,
2015-11-12 18:24,265,,,,,,,,
2015-11-12 18:24,265,,,,,,,,
2015-11-12 18:24,265,,,,,,,,
2015-11-12 18:24,265,,,,,,,,
2015-11-12 18:24,265,,,,,,,,
2015-11-15 11:30,24,,,,,,,,
2015-11-15 11:30,24,,,,,,,,
2015-11-15 11:30,24,,,,,,,,
2015-11-15 11:30,24,,,,,,,,
2015-11-15 11:30,24,,,,,,,,
2015-11-15 11:30,24,,,,,,,,
2015-11-15 11:30,24,,,,,,,,
2015-11-15 11:30,24,,,,,,,,
2015-11-15 11:30,26,,,,,,,,
2015-11-15 11:30,26,,,,,,,,
2015-11-15 11:30,26,,,,,,,,
2015-11-15 11:30,24,,,,,,,,
2015-11-15 11:30,24,,,,,,,,
2015-11-15 11:30,24,,,,,,,,
2015-11-15 11:30,24,,,,,,,,
2015-11-15 11:30,24,,,,,,,,
2015-11-15 11:30,24,,,,,,,,
2015-11-15 11:30,24,,,,,,,,
2015-11-15 11:30,24,,,,,,,,
2015-11-15 11:30,26,,,,,,,,
2015-11-15 11:30,26,,,,,,,,
2015-11-15 11:30,26,,,,,,,,
2015-11-16 18:10,274,,,,,,,,
2015-11-16 18:10,274,,,,,,,,
2015-11-16 18:10,274,,,,,,,,
2015-11-16 18:10,274,,,,,,,,
2015-11-16 18:10,274,,,,,,,,
2015-11-16 18:10,66,,,,,,,,
2015-11-16 18:10,66,,,,,,,,
2015-11-16 18:10,66,,,,,,,,
2015-11-16 18:10,272,,,,,,,,
2015-11-16 18:10,272,,,,,,,,
2015-11-16 18:10,158,,,,,,,,
2015-11-16 18:10,158,,,,,,,,
2015-11-16 18:10,158,,,,,,,,
2015-11-16 18:10,158,,,,,,,,
2015-11-16 18:10,274,,,,,,,,
